date,price_index_msft,price_index_aapl,price_index_gme,price_index_sp500
2016-04-12,1.0,1.0,1.0,1.0
2016-04-13,1.0128087831655994,1.0144875045273452,1.0458624127617149,1.0100401606425704
2016-04-14,1.0129917657822507,1.0150307859471206,1.0518444666001994,1.0102147721320065
2016-04-15,1.0182982616651417,0.9946396233248823,1.0564971751412429,1.0092204567060514
2016-04-18,1.0331198536139068,0.9731981166244115,1.0704553007643736,1.0158217410705626
2016-04-19,1.0318389752973467,0.968055052517204,1.0784313725490198,1.0189550472421087
2016-04-20,1.0172003659652333,0.9700108656283956,1.0930541708208708,1.0197310983062686
2016-04-21,1.0206770356816104,0.9595436436073886,1.073778664007976,1.0144345497933764
2016-04-22,0.947483989021043,0.9568996740311482,1.0900631439016284,1.0144830529848865
2016-04-25,0.9535224153705398,0.9514668598333937,1.0900631439016284,1.0126447820266575
2016-04-26,0.9412625800548947,0.9448388265121332,1.1073446327683616,1.0145412568146983
2016-04-27,0.9321134492223239,0.885729808040565,1.109338650714523,1.0162146169217936
2016-04-28,0.9130832570905764,0.8586743933357479,1.093386507145231,1.0068340996837593
2016-04-29,0.9125343092406221,0.8487866714958349,1.0900631439016284,1.0017364142560583
2016-05-02,0.9260750228728271,0.8478812024628758,1.0754403456297774,1.0095599790466212
2016-05-03,0.9108874656907594,0.8618254255704456,1.0402126952475905,1.000800302659915
2016-05-04,0.9125343092406221,0.8528793915248098,1.0216018610834163,0.9948586616999399
2016-05-05,0.913815187557182,0.8442593263310394,1.0006646726487205,0.994620996061541
2016-05-06,0.9220494053064959,0.8395508873596523,1.0,0.997778553828842
2016-05-09,0.9161939615736505,0.8402028250633828,1.0033233632436025,0.998530353297247
2016-05-10,0.9335773101555354,0.8458891705903658,1.0142904619474908,1.0109956735153174
2016-05-11,0.9341262580054894,0.8376675117710974,0.9704220671319375,1.001328987447374
2016-05-12,0.9425434583714547,0.8180007243752264,0.9670987038883351,1.0011592262770892
2016-05-13,0.9346752058554437,0.8196305686345526,0.9548022598870056,0.9926711677628388
2016-05-16,0.9483989021043001,0.8500543281419776,0.964440013293453,1.0023960576605941
2016-05-17,0.9242451967063129,0.846504889532778,0.9458291791292789,0.992962186911899
2016-05-18,0.9297346752058555,0.8562115175660993,0.931538717181788,0.993165900316241
2016-05-19,0.9207685269899359,0.8529518290474466,0.9488202060485211,0.9894845080806318
2016-05-20,0.9262580054894785,0.8621876131836291,0.9464938517779994,0.9954406999980601
2016-05-23,0.9154620311070448,0.8731618978630932,0.946161515453639,0.9933647634014319
2016-05-24,0.9440073193046662,0.8864541832669324,0.9538052509139249,1.0069553576625343
2016-05-25,0.9537053979871912,0.9020282506338284,0.9880358923230309,1.0139786197931824
2016-05-26,0.9494967978042086,0.9091995653748642,0.9963443004320373,1.0137652057505384
2016-05-27,0.9573650503202196,0.9086200651937704,0.9571286141575275,1.0181110917098346
2016-05-31,0.9698078682525161,0.9042013763129301,0.9670987038883351,1.0170876743689734
2016-06-01,0.9670631290027448,0.8915248098515031,0.9621136590229312,1.0182420503269116
2016-06-02,0.9602927721866422,0.8848243390076059,0.9601196410767697,1.0211182895834547
2016-06-03,0.9476669716376944,0.8866352770735241,0.9514788966434031,1.0181450439438917
2016-06-06,0.9538883806038427,0.8930459978268743,0.946161515453639,1.0231311720311196
2016-06-07,0.9533394327538884,0.8966678739587107,0.9458291791292789,1.024450458840192
2016-06-08,0.9522415370539798,0.8958710612097066,0.938185443668993,1.027840831926741
2016-06-09,0.9445562671546203,0.9023180007243753,0.9062811565304087,1.026075315755777
2016-06-10,0.9419945105215004,0.8948931546541108,0.8816882685277502,1.0166608462836857
2016-06-13,0.9174748398902105,0.8813835566823615,0.8650714523097375,1.0084104534078344
2016-06-14,0.9118023787740165,0.8824701195219123,0.8551013625789299,1.0065964340453604
2016-06-15,0.9092406221408966,0.8795726186164433,0.86839481555334,1.0047436121296782
2016-06-16,0.9220494053064959,0.8833031510322348,0.8617480890661349,1.0078914692586771
2016-06-17,0.9172918572735591,0.8632017385005433,0.8690594882020605,1.0046078031934502
2016-06-20,0.9161939615736505,0.8611010503440782,0.8773678963110667,1.0104427371321034
2016-06-21,0.9366880146386093,0.868453458891706,0.8587570621468926,1.0131831674524185
2016-06-22,0.9330283623055811,0.8651937703730533,0.8640744433366567,1.0115098073453233
2016-06-23,0.9498627630375114,0.870155740673669,0.875041542040545,1.0250276468191608
2016-06-24,0.9118023787740165,0.845708076783774,0.84214024592888,0.9882088741439188
2016-06-27,0.886184812442818,0.8333936979355306,0.847457627118644,0.9703257474341812
2016-06-28,0.9046660567246111,0.847410358565737,0.865736124958458,0.9875686320159867
2016-06-29,0.9247941445562672,0.8547627671133647,0.8777002326354271,1.0043895388316553
2016-06-30,0.9363220494053065,0.8656283955088736,0.8833499501495513,1.0180140853268147
2016-07-01,0.936139066788655,0.8682361463237958,0.8993020937188434,1.0199978658595736
2016-07-05,0.9363220494053065,0.8600869250271641,0.8740445330674643,1.0130134062821337
2016-07-06,0.9401646843549863,0.8649764578051431,0.8796942505815886,1.0184360630929516
2016-07-07,0.9401646843549863,0.8687069902209344,0.875041542040545,1.0175484546883187
2016-07-08,0.9569990850869167,0.8754074610648317,0.9096045197740114,1.033069475971519
2016-07-11,0.962305580969808,0.8781238681637089,0.9454968428049185,1.036590807675145
2016-07-12,0.9736505032021958,0.8821079319087287,0.9551345962113659,1.0438565857633433
2016-07-13,0.9791399817017383,0.877145961608113,0.9587902957793287,1.0439972450187223
