,index,Symbol,High,Low,Close,Volume,date,previousClose,percent_change,price_index
0,247,ETH,8.946640014648438,8.003179550170897,8.643790245056152,15138100.0,2016-04-11,8.93634033203125,-0.03273712460642153,1.0
1,248,ETH,8.639470100402832,7.154160022735597,7.442309856414795,23190100.0,2016-04-12,8.643790245056152,-0.1389992531723625,0.8610007468276375
2,249,ETH,8.719770431518555,7.0692200660705575,8.04442024230957,31403300.0,2016-04-13,7.442309856414795,0.08090369757660576,0.9306588908622124
3,250,ETH,8.757040023803711,8.021519660949707,8.387240409851074,13590700.0,2016-04-14,8.04442024230957,0.04261589489550088,0.9703197523387599
4,251,ETH,8.61620044708252,8.097330093383789,8.242779731750487,12179000.0,2016-04-15,8.387240409851074,-0.017223862801275414,0.9536070980511095
5,252,ETH,8.649760246276855,8.114439964294434,8.609499931335451,9888460.0,2016-04-16,8.242779731750487,0.04448987010685124,0.9960329539763747
6,253,ETH,9.70199966430664,8.560779571533201,9.309100151062012,24619600.0,2016-04-17,8.609499931335451,0.08125910044789819,1.0769696958329578
7,254,ETH,9.50666046142578,8.496870040893555,9.03600025177002,21084100.0,2016-04-18,9.309100151062012,-0.02933687411890573,1.04537477143643
8,255,ETH,9.30624008178711,8.595459938049316,8.714879989624022,12899100.0,2016-04-19,9.03600025177002,-0.03553787662667396,1.0082243717804849
9,256,ETH,8.825389862060547,8.313759803771973,8.465789794921875,15634700.0,2016-04-20,8.714879989624022,-0.02858217152717135,0.9794071298483804
10,257,ETH,8.721830368041992,7.962220191955566,8.102169990539549,13355400.0,2016-04-21,8.465789794921875,-0.04295166938829975,0.9373399586105893
11,258,ETH,8.272319793701174,7.668479919433594,7.82125997543335,13309300.0,2016-04-22,8.102169990539549,-0.03467096042593554,0.9048414819999534
12,259,ETH,8.552929878234862,7.737740039825439,8.294790267944336,14565200.0,2016-04-23,7.82125997543335,0.06054399086571083,0.9596241964210749
13,260,ETH,8.473970413208008,7.95980978012085,8.001350402832031,10786400.0,2016-04-24,8.294790267944336,-0.035376405627315144,0.9256761415986966
14,261,ETH,8.094599723815918,7.236509799957275,7.55433988571167,18239900.0,2016-04-25,8.001350402832031,-0.055866884290199925,0.8739614997058035
15,262,ETH,7.551819801330566,7.0589799880981445,7.3970398902893075,17667300.0,2016-04-26,7.55433988571167,-0.020822467323700966,0.8557634649360067
16,263,ETH,7.967740058898926,7.319690227508545,7.759970188140869,19254500.0,2016-04-27,7.3970398902893075,0.0490642612767318,0.8977508671707082
17,264,ETH,7.913070201873778,7.166399955749513,7.172530174255371,11576000.0,2016-04-28,7.759970188140869,-0.07570132354158399,0.8297899383152808
18,265,ETH,7.730959892272949,7.171889781951903,7.457290172576903,8762080.0,2016-04-29,7.172530174255371,0.03970147094586407,0.8627338194424753
19,266,ETH,9.366499900817873,7.453909873962402,8.813980102539062,36573300.0,2016-04-30,7.457290172576903,0.1819280058259216,1.0196892627722256
20,267,ETH,9.01177978515625,8.43235969543457,8.846500396728516,16713800.0,2016-05-01,8.813980102539062,0.0036896264583221594,1.023451535255417
21,268,ETH,10.321499824523926,8.850720405578613,10.163200378417967,41019200.0,2016-05-02,8.846500396728516,0.14883851496534994,1.1757805419018408
22,269,ETH,10.16510009765625,9.279800415039062,9.311269760131836,21463900.0,2016-05-03,10.163200378417967,-0.08382503410001108,1.0772206978827894
23,270,ETH,10.034099578857422,9.2675199508667,9.413769721984863,17622400.0,2016-05-04,9.311269760131836,0.011008161560510432,1.089078917361409
24,271,ETH,10.045999526977539,9.292119979858398,9.82610034942627,18296200.0,2016-05-05,9.413769721984863,0.04380079815192972,1.1367814431922783
