date,price_index_bit,price_index_ether
2016-04-11,1.0,1.0
2016-04-12,1.006407360110281,0.8610007468276375
2016-04-13,1.0029610826353195,0.9306588908622124
2016-04-14,1.0042581860647448,0.9703197523387599
2016-04-15,1.0171131405454943,0.9536070980511095
2016-04-16,1.0191463070113869,0.9960329539763747
2016-04-17,1.0116359358543097,1.0769696958329578
2016-04-18,1.0144573904376673,1.04537477143643
2016-04-19,1.0308320119954437,1.0082243717804849
2016-04-20,1.0447497432628021,0.9794071298483804
2016-04-21,1.0637705800588462,0.9373399586105893
2016-04-22,1.0550412625091892,0.9048414819999534
2016-04-23,1.0657991235576794,0.9596241964210749
2016-04-24,1.085380928512821,0.9256761415986966
2016-04-25,1.0921764733883597,0.8739614997058035
2016-04-26,1.1032135905407738,0.8557634649360067
2016-04-27,1.0525559843116723,0.8977508671707082
2016-04-28,1.0627906555100024,0.8297899383152808
2016-04-29,1.0771959653343925,0.8627338194424753
2016-04-30,1.061150369010287,1.0196892627722256
2016-05-01,1.069569658831532,1.023451535255417
2016-05-02,1.0525133663340946,1.1757805419018408
2016-05-03,1.0658511319370962,1.0772206978827894
2016-05-04,1.0573726825842646,1.089078917361409
2016-05-05,1.0603409163717539,1.1367814431922783
2016-05-06,1.0878615115094183,1.0813126381131886
2016-05-07,1.085335999051714,1.0840742123141938
2016-05-08,1.085364386958812,1.0970800903960438
2016-05-09,1.0899444471050583,1.0756543347612684
2016-05-10,1.0672500128756857,1.083034126018034
2016-05-11,1.0715886674608057,1.1564694923282188
2016-05-12,1.0764125168855678,1.163586807155732
2016-05-13,1.0785523005292648,1.215508484365772
2016-05-14,1.0785546120127945,1.1846308190136203
2016-05-15,1.0830447410029658,1.1525441512605654
2016-05-16,1.07498524803988,1.2924075686330627
2016-05-17,1.0740857920114117,1.411279050177351
2016-05-18,1.0760645663804977,1.5685943366655741
2016-05-19,1.0384204679555065,1.7087064391459048
2016-05-20,1.0477959896194164,1.5775024269967435
2016-05-21,1.0490078570936865,1.6213952381987389
2016-05-22,1.0398595831542836,1.6527587993871358
2016-05-23,1.0512967314250448,1.5573608088819642
2016-05-24,1.0556187722222956,1.4729996267516772
2016-05-25,1.0641824575302825,1.4491328072256817
2016-05-26,1.0731414065218363,1.4380728294308123
2016-05-27,1.1206699141565581,1.3068110040622614
2016-05-28,1.2545829675591236,1.3758895264402249
2016-05-29,1.245571937954292,1.4288176391221614
2016-05-30,1.2636343036580022,1.4721898003579343
2016-05-31,1.2577689142015598,1.6286026931030482
2016-06-01,1.270867657960825,1.6198333986306432
2016-06-02,1.2733577035931214,1.5893490617653707
2016-06-03,1.3472588658576041,1.6019245402883666
2016-06-04,1.3556213798646526,1.5896267638134702
2016-06-05,1.3609470379169257,1.6167676430444133
2016-06-06,1.3859421205968858,1.612035895830729
2016-06-07,1.3647815001571448,1.6788931328156107
2016-06-08,1.3767299919249767,1.6679835355894979
2016-06-09,1.3601257389253032,1.665773834906408
2016-06-10,1.3668478219649156,1.6090857666832787
2016-06-11,1.4360979904323363,1.6418260327410383
2016-06-12,1.5924522261500587,1.8213884859677718
2016-06-13,1.6672291517368307,2.036456089370411
2016-06-14,1.622690186878387,2.1857540945605813
2016-06-15,1.6437797291995917,2.1234087159606743
2016-06-16,1.8138196810253857,2.3818949297696266
2016-06-17,1.7726369902519683,1.7789417775645213
2016-06-18,1.7899583810167103,1.3108485513209822
2016-06-19,1.8078384284570204,1.4153744106554615
2016-06-20,1.7449838459806515,1.3697116764277963
2016-06-21,1.5779379876643347,1.5394519505396873
2016-06-22,1.4109822772056735,1.5149720240286746
2016-06-23,1.476928035499764,1.5821994200804508
2016-06-24,1.5747355717017495,1.6580804841658527
2016-06-25,1.5743189267955333,1.652400114699662
2016-06-26,1.4896859799061293,1.602329453485238
2016-06-27,1.5510092045441166,1.6062282048851952
2016-06-28,1.5314248714038643,1.4085950383680081
2016-06-29,1.5145935151474044,1.458989630139929
2016-06-30,1.5937611036987132,1.4416708196932568
2016-07-01,1.6007650432612202,1.411360032816725
2016-07-02,1.6656339391659432,1.4031344473999552
2016-07-03,1.5590307747305443,1.3559097632736228
2016-07-04,1.6181999856543554,1.3270798333258125
2016-07-05,1.587346736903983,1.2276327108519274
2016-07-06,1.6032147823994687,1.2180883441157564
2016-07-07,1.5161841047512328,1.1695563530494433
2016-07-08,1.5776327273707027,1.318241140924025
2016-07-09,1.540795770100715,1.2685985623264568
2016-07-10,1.5370085488051328,1.266527767832703
2016-07-11,1.5329823778996747,1.2100015545577505
2016-07-12,1.5729651197857717,1.216607487187035
2016-07-13,1.5490990523423165,1.2148026997008166
2016-07-14,1.5576437401450443,1.3319619611082532
2016-07-15,1.5698974922065083,1.382680483437671
2016-07-16,1.5640085545116078,1.3481122604737088
2016-07-17,1.6082516494782584,1.2909498811243258
2016-07-18,1.593214437843955,1.2765696151151118
2016-07-19,1.592641623331768,1.3442135090737517
2016-07-20,1.5756491855668369,1.4404097412626735
2016-07-21,1.5740562844794788,1.4635593017442932
2016-07-22,1.5399886289457114,1.696235002351696
2016-07-23,1.5516743339297683,1.6543321133346522
2016-07-24,1.5652345075886365,1.4749895489366287
2016-07-25,1.5482208330687768,1.60069821598776
2016-07-26,1.5427460843288423,1.3870651306738737
2016-07-27,1.548824419205452,1.5008231212275907
2016-07-28,1.5504410129989887,1.485875976742757
2016-07-29,1.5550732259923723,1.480207081655987
2016-07-30,1.5504694731399473,1.441613006473867
2016-07-31,1.4785944706569085,1.3739227736752582
2016-08-01,1.435020983575248,1.2658335678777397
