date,percent_change_bit,percent_change_eth
2016-04-11,,
2016-04-12,-0.0032547831911062808,-0.14866139647374976
2016-04-13,-0.01346449716032394,0.07086353693403535
2016-04-14,0.0011203981496776816,0.042443019106755075
2016-04-15,0.013784709212170787,-0.016239601381442204
2016-04-16,,
2016-04-17,,
2016-04-18,-0.0037519716648755086,-0.035877847719517186
2016-04-19,0.013056757095958993,-0.038622380575411897
2016-04-20,0.012739839644428264,-0.02934378615017208
2016-04-21,0.023400181629962158,-0.03775760546135909
2016-04-22,-0.008253828232278382,-0.034718773457855456
2016-04-23,,
2016-04-24,,
2016-04-25,0.00807300412925438,-0.05405485701895041
2016-04-26,0.008232823294920477,-0.022695261043375714
2016-04-27,-0.04756759780211317,0.04741488517117154
2016-04-28,0.01895447860082433,-0.06647048088115393
2016-04-29,0.018617314596509504,0.04476455475411234
2016-04-30,,
2016-05-01,,
2016-05-02,-0.023756877308770963,0.14102851157601193
2016-05-03,0.02134902750515577,-0.07514830704217101
2016-05-04,-0.002017738437634753,0.016945051211905926
2016-05-05,0.0030460723030579784,0.044039692024545496
2016-05-06,0.022779844005763605,-0.05196924229239541
2016-05-07,,
2016-05-08,,
2016-05-09,0.0034663631302678244,-0.02028327407572661
2016-05-10,-0.033305309854626985,-0.00562292072142756
2016-05-11,0.01362681581409142,0.07736676957652333
2016-05-12,0.004671122681924267,0.006323883098615202
2016-05-13,0.010466114720754982,0.05310032202706694
2016-05-14,,
2016-05-15,,
2016-05-16,-0.017238202514580303,0.11155520729169366
2016-05-17,0.008574605917352929,0.10138809676170091
2016-05-18,0.0016371298094162157,0.11126485036498823
2016-05-19,-0.031276398030395614,0.09303007534008989
2016-05-20,0.0030091473838456118,-0.08280506815747257
2016-05-21,,
2016-05-22,,
2016-05-23,0.013084187726059238,-0.0556350105976523
2016-05-24,-0.009570221280113644,-0.06785069733943816
2016-05-25,0.001137728928444215,-0.02317761893353043
2016-05-26,0.008629093129768894,-0.007421663462822248
2016-05-27,0.04000226157620945,-0.09556307773836026
2016-05-28,,
2016-05-29,,
2016-05-30,,
2016-05-31,-0.003636470819543991,0.10725027122821451
2016-06-01,0.009279287198586061,-0.006519532889796564
2016-06-02,-0.0008653834919036818,-0.021644138029706106
2016-06-03,0.06094820559885328,0.010824099632445572
2016-06-04,,
2016-06-05,,
2016-06-06,0.013468681147842831,-0.00782393811083526
2016-06-07,-0.016557500594518437,0.040184329150209974
2016-06-08,0.005445419859099854,-0.009807544519459976
2016-06-09,-0.01034295181159084,0.0003929204593067226
2016-06-10,0.014117473825579818,-0.024855848702171834
2016-06-11,,
2016-06-12,,
2016-06-13,0.05507227892864752,0.12619411691881588
2016-06-14,-0.024915473173911407,0.07511154610441673
2016-06-15,0.01483733362986761,-0.02668282992895077
2016-06-16,0.10031149219302993,0.11859873332297632
2016-06-17,-0.019446997085548978,-0.2498821572165688
2016-06-18,,
2016-06-19,,
2016-06-20,-0.040575980744806506,-0.0380701180338332
2016-06-21,-0.09844128024778331,0.12121198228093255
2016-06-22,-0.1041546689032935,-0.014250128259483685
2016-06-23,0.03337345949984938,0.031011316127014243
2016-06-24,0.10214341528242643,0.08387901384009233
2016-06-25,,
2016-06-26,,
2016-06-27,0.05926170711700007,0.020529682018153972
2016-06-28,-0.030397034357515618,-0.14081197526055134
2016-06-29,-0.02802329687992866,0.018743847977017447
2016-06-30,0.038704855997037324,-0.025435416058133486
2016-07-01,0.0024459212270264707,-0.02297343960146403
2016-07-02,,
2016-07-03,,
2016-07-04,,
2016-07-05,-0.012218876619425778,-0.06808928112094204
2016-07-06,0.004643588219046313,-0.013127607063902591
2016-07-07,-0.05341356115988505,-0.038971210763883546
2016-07-08,0.025275121819325896,0.1118758722387263
2016-07-09,,
2016-07-10,,
2016-07-11,-0.006028095776483555,-0.0480394626657229
2016-07-12,0.019072368842243614,-0.0015498606245314406
2016-07-13,-0.01530741118049117,-0.0016182087294916991
2016-07-14,0.00025673577443408035,0.09118386455543481
2016-07-15,0.008795794351177832,0.03900699894611925
2016-07-16,,
2016-07-17,,
2016-07-18,-0.011732376658441401,-0.013521630855198974
2016-07-19,0.001075702830955927,0.054424038193130686
2016-07-20,-0.014939646494681824,0.0672929041799819
2016-07-21,0.0026015349329960857,0.019683994647706538
2016-07-22,-0.026197140701331723,0.15442543105389883
2016-07-23,,
2016-07-24,,
2016-07-25,-0.007858276029442002,0.08823827153730057
2016-07-26,-0.003858961694044205,-0.1337852440751428
2016-07-27,0.005138554713571275,0.08321205515195673
2016-07-28,-0.0005624627321065834,-0.011565515945118676
2016-07-29,0.0013563831445351227,-0.005446478554214207
2016-07-30,,
2016-07-31,,
2016-08-01,-0.02819974916047685,-0.07740218319516812
2016-08-02,-0.09063603942593934,-0.19053098178706196
2016-08-03,0.03137046365335783,0.16832064547297243
2016-08-04,0.020859037226805155,0.07253927739843169
2016-08-05,-0.014216503714032935,-0.01923481929851867
2016-08-06,,
2016-08-07,,
2016-08-08,-0.0018532104772517322,0.03149838868545696
2016-08-09,-0.005893460532612305,0.08843763110100089
2016-08-10,0.010183492463807786,-0.00539221468563067
2016-08-11,-0.009772594552599156,-0.04198175530434767
2016-08-12,-0.0018536200670313807,0.008289037320902803
2016-08-13,,
2016-08-14,,
2016-08-15,-0.008460259639475165,-0.0006848883247554394
2016-08-16,0.02345918364411681,-0.0015361897153881587
2016-08-17,-0.00918192335231649,-0.03660018922456598
2016-08-18,-0.0002771263454364181,-0.0018927247775055722
2016-08-19,0.003724785163543465,0.0007523753219975671
2016-08-20,,
